target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
h2	h2_delta_z	tiny	36	33	9	0.4	0.95	0	500	408	408	408	1	0	0.010789883	0.86569874
h2	h2_delta_z	tiny	36	33	9	0.6	0.9	0	500	442	442	442	1	0	0.014269545	0.77366523
h2	h2_delta_z	tiny	36	33	9	0.6	0.95	0	500	442	442	442	1	0	0.010366584	0.84283451
h2	h2_delta_z	tiny	36	33	9	0.8	0.9	0	500	394	394	394	1	0	0.015113782	0.76539223
h2	h2_delta_z	tiny	36	33	9	0.8	0.95	0	500	394	394	394	1	0	0.010979908	0.83899073
h2	h2_profile_chisq	tiny	36	33	9	0.2	0.9	0	500	351	351	334	0.95156695	0.011458744	0.016012815	0.7563855
h2	h2_profile_chisq	tiny	36	33	9	0.2	0.95	0	500	351	351	345	0.98290598	0.0069187	0.011633041	0.83505845
h2	h2_profile_chisq	tiny	36	33	9	0.4	0.9	0	500	408	408	395	0.96813725	0.0086952081	0.014852213	0.77466321
h2	h2_profile_chisq	tiny	36	33	9	0.4	0.95	0	500	408	408	402	0.98529412	0.0059593433	0.010789883	0.85475497
h2	h2_profile_chisq	tiny	36	33	9	0.6	0.9	0	500	442	442	423	0.95701357	0.0096474732	0.014269545	0.74776091
h2	h2_profile_chisq	tiny	36	33	9	0.6	0.95	0	500	442	442	440	0.99547511	0.0031923311	0.010366584	0.8318778
h2	h2_profile_chisq	tiny	36	33	9	0.8	0.9	0	500	394	394	379	0.96192893	0.0096409738	0.015113782	0.70074855
h2	h2_profile_chisq	tiny	36	33	9	0.8	0.95	0	500	394	394	386	0.97969543	0.0071054946	0.010979908	0.78388281
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.2	0.9	200	500	351	351	348	0.99145299	0.0049134843	0.016012815	1.0271436
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.2	0.95	200	500	351	351	350	0.997151	0.0028449415	0.011633041	1.2159563
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.4	0.9	200	500	408	408	399	0.97794118	0.0072713903	0.014852213	1.1134697
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.4	0.95	200	500	408	408	405	0.99264706	0.0042295863	0.010789883	1.2979371
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.6	0.9	200	500	442	442	403	0.91176471	0.013491226	0.014269545	1.1291381
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.6	0.95	200	500	442	442	423	0.95701357	0.0096474732	0.010366584	1.3097997
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.8	0.9	200	500	394	394	344	0.87309645	0.016769491	0.015113782	1.1166005
sigma_a2	sigma_a2_bootstrap_percentile	tiny	36	33	9	0.8	0.95	200	500	394	394	365	0.92639594	0.01315531	0.010979908	1.2987169
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.9	0	500	351	351	349	0.99430199	0.0040176032	0.016012815	0.97472075
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.95	0	500	351	351	351	1	0	0.011633041	1.1278509
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.9	0	500	408	408	386	0.94607843	0.011181878	0.014852213	1.1466499
